Folder,id,time,success,problem,number of objects,number of variables,algorithm choice,phase list,phase strategy,first phase rate,population size,maximum number of function evaluations,igd,gd,hv,time cost
20231203152011_19066,20231203152011_19066,,,dtlz7,3,3,2,,,0.75,15,300,0.5811444929763229,0.005385349193796754,0.6178150815075468,591.3249599933624
20231206103317_14280,20231206103317_14280,,,dtlz6,3,3,3,,,0.5,15,250,0.24134780796919467,0.2666626013788817,0.02359170574198624,1410.216762304306
20231205220543_29149,20231205220543_29149,,,dtlz1,2,2,2,,,0.5,11,50,0.21203442824666932,0.011779013839268127,0.15666900378435078,112.50836300849915
20231206035948_22577,20231206035948_22577,,,dtlz4,3,3,2,,,0.5,15,250,0.13691459823874746,0.030741859762601697,0.6349528761766748,1587.7435898780823
20231203173221_21948,20231203173221_21948,,,dtlz7,3,3,2,,,0.5,15,300,0.3840678699519249,0.048624617866138614,0.5137137279123195,984.9731631278992
20231213103453_acuu0,20231213103453_acuu0,2023-12-13 10:34:55,True,dtlz1,2,2,4,0,rate with continuous change when fails,0.8,11,250,0.03603258956208528,0.0021114385345758096,0.22098279884098876,1107.0554702281952
20231214005529_j61ce,20231214005529_j61ce,2023-12-14 00:55:32,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.39659535334106766,0.014408607034002908,0.31362749718825644,133.65817379951477
20231214001330_tqrmv,20231214001330_tqrmv,2023-12-14 00:13:32,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.3514682693068224,3.3963287898270558,0.714385066088582,63.66661310195923
20231205233224_11444,20231205233224_11444,,,dtlz1,3,3,3,,,0.5,15,250,0.11788677656066075,0.019902273516549187,0.17496909875736535,1091.3606474399567
20231130143358,20231130143358,,,dtlz1,2,5,0,,,,,250,0.060697262993519276,0.2898359896111936,0.2060290718324686,804.0395174026489
20231213161552_32mo7,20231213161552_32mo7,2023-12-13 16:15:54,True,dtlz1,2,3,0,0,continuous change when fails,0.4,11,250,0.011901018041707245,0.0022276647801954797,0.23033839889004676,911.7359025478363
20231213090413_u6lim,20231213090413_u6lim,2023-12-13 09:04:16,True,dtlz1,2,2,4,0,continuous change when fails,0.4,11,250,0.039578492418940424,0.0017088492226691602,0.2193480945675605,1399.765375137329
20231213225147_bt3pb,20231213225147_bt3pb,2023-12-13 22:51:51,True,dtlz7,3,3,0,1,rate with one time change when fails,0.5,15,50,0.49287212089857857,7.068739432716268,0.40389629554931356,19.611136198043823
20231207104008_21854,20231207104008_21854,,,dtlz7,3,3,3,,,1.0,15,300,0.10129015528064286,0.013040252508208422,0.9847757158036873,1691.2032220363617
20231213014949_jsdpx,20231213014949_jsdpx,2023-12-13 01:49:51,True,dtlz1,2,2,0,0,rate with continuous change when fails,0.2,11,250,0.006962178523871614,0.0028952969229746606,0.2320739786171555,953.4361443519592
20231212150801_1813,20231212150801_1813,2023-12-12 15:08:06,False,dtlz7,3,3,4,0,no change,0.5,15,50,0.6964289597444463,0.004910051993251171,0.4284591881793935,50.424551010131836
20231213164800_ivxab,20231213164800_ivxab,2023-12-13 16:48:03,True,dtlz1,2,3,0,0,rate with continuous change when fails,0.6,11,250,0.012140512361159282,0.004791691604138233,0.22946028837027807,965.7658123970032
20231205172350_5692,20231205172350_5692,,,dtlz5,3,3,2,,,0.5,15,50,0.05622982647208211,0.013886183222396764,0.13538800497019504,86.69142484664917
20231213094509_ukup2,20231213094509_ukup2,2023-12-13 09:45:11,True,dtlz1,2,2,4,0,rate with continuous change when fails,0.6,11,250,0.018038428816370588,0.0024969831888181524,0.22781065612114806,837.5992248058319
20231214001624_ola1b,20231214001624_ola1b,2023-12-14 00:16:26,True,dtlz2,3,5,4,1,rate with continuous change when fails,0.4,15,250,0.12706535181933573,0.04043035395130886,0.6312671601041384,1539.8591821193695
20231207113952_16658,20231207113952_16658,,,dtlz7,3,3,3,,,1.0,15,300,0.07439285635799207,0.052699456067907054,1.0775891636746597,1598.960396528244
